candidate_budget,alignment,sender,receiver,sender_layer,receiver_layer,oracle_mass,gold_topk_recall,oracle_attn_l1,oracle_output_mse,oracle_output_cosine
64,span,qwen_receiver,llama32_1b,0,0,0.2074376344680786,0.2626190185546875,1.4425466060638428,0.001235254734638147,0.393332839012146
64,span,qwen_receiver,llama32_1b,4,4,0.250980406999588,0.35004425048828125,1.3554610013961792,0.010270236525684595,0.6417272090911865
64,span,qwen_receiver,llama32_1b,8,8,0.2409389615058899,0.357818603515625,1.3755439519882202,0.013196647982113063,0.6613205671310425
64,span,qwen_receiver,llama32_1b,12,12,0.21040663123130798,0.33943939208984375,1.4366085529327393,0.014480482670478523,0.6612930297851562
64,span,qwen_receiver,llama32_1b,15,15,0.20865078270435333,0.30239105224609375,1.4401202201843262,0.047513434663414955,0.6999692916870117
64,span,llama32_1b,qwen_sender,0,0,0.39601173996925354,0.4292144775390625,1.2079765796661377,0.00442915316671133,0.7914685010910034
64,span,llama32_1b,qwen_sender,4,4,0.3970658779144287,0.30291748046875,1.2058682441711426,0.008337663486599922,0.8976186513900757
64,span,llama32_1b,qwen_sender,8,8,0.37206798791885376,0.3368682861328125,1.2070013284683228,2.4242172241210938,0.7588276267051697
64,span,llama32_1b,qwen_sender,12,12,0.3793784976005554,0.3928680419921875,1.193740963935852,7.200812816619873,0.8400638699531555
64,span,llama32_1b,qwen_sender,15,15,0.3502470552921295,0.363800048828125,1.2995059490203857,0.6981717348098755,0.7414861917495728
64,span,llama32_1b,qwen_receiver,0,0,0.39470112323760986,0.375152587890625,1.2105977535247803,0.004422965459525585,0.7718758583068848
64,span,llama32_1b,qwen_receiver,4,4,0.4101128578186035,0.3585205078125,1.179774284362793,0.012070585042238235,0.8934108018875122
64,span,llama32_1b,qwen_receiver,8,8,0.3716607093811035,0.3850555419921875,1.1781156063079834,3.6832668781280518,0.8177001476287842
64,span,llama32_1b,qwen_receiver,12,12,0.30515992641448975,0.3992156982421875,1.1092767715454102,57.962059020996094,0.7467168569564819
64,span,llama32_1b,qwen_receiver,15,15,0.37051740288734436,0.3968963623046875,1.0876476764678955,5.5919413566589355,0.5863747596740723
128,span,qwen_sender,qwen_receiver,0,0,0.6190561056137085,0.8501739501953125,0.7618877291679382,0.001924729673191905,0.9051694869995117
128,span,qwen_sender,qwen_receiver,4,4,0.6821727156639099,0.841888427734375,0.635654628276825,0.007666539400815964,0.9383496642112732
128,span,qwen_sender,qwen_receiver,8,8,0.8260378837585449,0.816314697265625,0.34792423248291016,0.013655424118041992,0.9820191860198975
128,span,qwen_sender,qwen_receiver,12,12,0.9335202574729919,0.8210906982421875,0.1329594850540161,0.10571213811635971,0.9843261241912842
128,span,qwen_sender,qwen_receiver,15,15,0.8290024995803833,0.8246612548828125,0.33438169956207275,1.226604700088501,0.8909506797790527
128,span,qwen_sender,llama32_1b,0,0,0.3617429733276367,0.40276336669921875,1.1339359283447266,0.0006138672833913006,0.6225799918174744
128,span,qwen_sender,llama32_1b,4,4,0.37484484910964966,0.48252105712890625,1.1077321767807007,0.007427984441164881,0.7143879532814026
128,span,qwen_sender,llama32_1b,8,8,0.37594738602638245,0.5247650146484375,1.1055271625518799,0.010590949561446905,0.7194844484329224
128,span,qwen_sender,llama32_1b,12,12,0.3371785283088684,0.5177688598632812,1.1830649375915527,0.01200034690555185,0.7023341655731201
128,span,qwen_sender,llama32_1b,15,15,0.3302597403526306,0.4515533447265625,1.1969023942947388,0.039807038847357035,0.7555174231529236
128,span,qwen_receiver,qwen_sender,0,0,0.6122804284095764,0.806884765625,0.7754391431808472,0.0019294079393148422,0.9042324423789978
128,span,qwen_receiver,qwen_sender,4,4,0.6305569410324097,0.8012237548828125,0.7388861775398254,0.0065885731019079685,0.9195094108581543
128,span,qwen_receiver,qwen_sender,8,8,0.7238541841506958,0.8321685791015625,0.552291750907898,0.02010863646864891,0.9713680148124695
128,span,qwen_receiver,qwen_sender,12,12,0.7357478141784668,0.724456787109375,0.5285043716430664,0.09832176566123962,0.983375072479248
128,span,qwen_receiver,qwen_sender,15,15,0.8338671922683716,0.8460845947265625,0.332265704870224,0.21785005927085876,0.9435154795646667
128,span,qwen_receiver,llama32_1b,0,0,0.35255131125450134,0.4122161865234375,1.1523191928863525,0.000682229467201978,0.5673550963401794
128,span,qwen_receiver,llama32_1b,4,4,0.38207581639289856,0.489471435546875,1.093270182609558,0.007123682356905192,0.7166215181350708
128,span,qwen_receiver,llama32_1b,8,8,0.366630882024765,0.5028839111328125,1.1241601705551147,0.010663141263648868,0.7134267091751099
128,span,qwen_receiver,llama32_1b,12,12,0.3275292217731476,0.49750518798828125,1.2023634910583496,0.012303059222176671,0.6932247877120972
128,span,qwen_receiver,llama32_1b,15,15,0.3309565782546997,0.4546356201171875,1.195508599281311,0.037684449926018715,0.7609540224075317
