budget_ratio,layer,mode,selected_tokens,selected_ratio,candidate_mass,gold_topk_recall,oracle_out_mse,oracle_out_cosine,selective_recompute_mse,selective_recompute_cosine
0.2,4,random_token,102.0,0.19921875,0.19923967123031616,0.19882869720458984,0.0058806490851566195,0.8351089432835579,0.005983892653603107,0.8342313021421432
0.2,4,recent_block,96.0,0.1875,0.015197457163594663,0.018286705017089844,0.008360201260074973,0.15468396618962288,0.00614042638335377,0.7409047409892082
0.2,4,recent_token,102.0,0.19921875,0.01751564280129969,0.021442413330078125,0.008302914211526513,0.1635772753506899,0.006153491733130068,0.7396650910377502
0.2,4,sender_attn_block,96.0,0.1875,0.5555475801229477,0.602574348449707,0.0021000558335799724,0.9285634756088257,0.0021000558335799724,0.9285634905099869
0.2,4,sender_k_norm,85.7421875,0.1674652099609375,0.15643411874771118,0.19472503662109375,0.014790554763749242,0.561087965965271,0.014175092685036361,0.6796644181013107
0.2,4,sender_k_norm_block,96.0,0.1875,0.408611785620451,0.4492464065551758,0.0032376424060203135,0.8125706911087036,0.0033000618568621576,0.8705309331417084
0.2,4,sender_kxreceived,79.09716796875,0.15448665618896484,0.34623032808303833,0.526611328125,0.005863476486410946,0.7519363164901733,0.0051278306054882705,0.8698769584298134
0.2,4,sender_kxreceived_block,96.0,0.1875,0.6417141631245613,0.6958818435668945,0.0011491147306514904,0.9300776496529579,0.0011491147306514904,0.9300776496529579
0.2,4,sender_received,78.8828125,0.1540679931640625,0.35131901502609253,0.524688720703125,0.005710423807613552,0.7569987773895264,0.0049707957659848034,0.8749898970127106
0.2,4,sender_received_block,96.0,0.1875,0.6417141631245613,0.6958818435668945,0.0011491147306514904,0.9300776496529579,0.0011491147306514904,0.9300776496529579
0.2,4,uniform_block,96.0,0.1875,0.5012298449873924,0.5805463790893555,0.00235505637829192,0.8469513580203056,0.00235505637829192,0.8469513431191444
0.2,8,random_block,96.0,0.1875,0.18815256841480732,0.18732261657714844,0.01270941982511431,0.6191441789269447,0.0132651727180928,0.707230880856514
0.2,8,random_token,102.0,0.19921875,0.19973846524953842,0.19883155822753906,0.011685873614624143,0.7795819118618965,0.011805812129750848,0.7796168997883797
0.2,8,recent_block,96.0,0.1875,0.020170959644019604,0.03304290771484375,0.016036381945014,0.1402556523680687,0.014687709393911064,0.5943674668669701
0.2,8,recent_token,102.0,0.19921875,0.02417059801518917,0.039279937744140625,0.016036618035286665,0.14971145056188107,0.014785444946028292,0.5957907661795616
0.2,8,sender_attn_block,96.0,0.1875,0.6014037877321243,0.5648689270019531,0.004761811287607998,0.8535629063844681,0.004761811520438641,0.8535629361867905
0.2,8,sender_k_norm,88.850341796875,0.17353582382202148,0.18780739605426788,0.2707061767578125,0.014417328871786594,0.6407457590103149,0.01373295031953603,0.7370555549860001
0.2,8,sender_k_norm_block,96.0,0.1875,0.4299428053200245,0.3884696960449219,0.008915770216844976,0.7810526937246323,0.009250000584870577,0.7845601588487625
0.2,8,sender_kxreceived,80.276123046875,0.15678930282592773,0.28340935707092285,0.3718414306640625,0.011257061618380249,0.6869025230407715,0.010513816843740642,0.7831933200359344
0.2,8,sender_kxreceived_block,96.0,0.1875,0.5966035798192024,0.4982872009277344,0.005333001317922026,0.801919475197792,0.005333001201506704,0.801919475197792
0.2,8,sender_received,79.740234375,0.15574264526367188,0.2837902009487152,0.36374664306640625,0.011408814578317106,0.682462215423584,0.01066556922160089,0.7787529900670052
0.2,8,sender_received_block,96.0,0.1875,0.5966035798192024,0.4982872009277344,0.005333001317922026,0.801919475197792,0.005333001201506704,0.801919475197792
0.2,8,uniform_block,96.0,0.1875,0.53293377161026,0.519597053527832,0.006940409657545388,0.761341318488121,0.006940409657545388,0.761341318488121
